,APT_NAME,YEAR,co2(kt),STATE_NAME,FLT_TOT_1,Latitude,Longitude
51,Bucharest Otopeni,2022,95.93,Romania,101715.0,44.5711,26.085
52,Bucharest Otopeni,2023,111.47,Romania,111311.0,44.5711,26.085
53,Bucharest Otopeni,2024,112.58,Romania,73634.0,44.5711,26.085
54,Budapest,2019,134.85,Hungary,122132.0,47.4298,19.2611
55,Budapest,2020,49.97,Hungary,47770.0,47.4298,19.2611
56,Budapest,2021,58.23,Hungary,54543.0,47.4298,19.2611
57,Budapest,2022,105.51,Hungary,97982.0,47.4298,19.2611
58,Budapest,2023,114.31,Hungary,107397.0,47.4298,19.2611
59,Budapest,2024,115.8,Hungary,79817.0,47.4298,19.2611
60,Casablanca,2019,53.72,Morocco,93889.0,33.3675,-7.5898
61,Casablanca,2020,20.88,Morocco,34249.0,33.3675,-7.5898
62,Casablanca,2021,29.28,Morocco,46907.0,33.3675,-7.5898
63,Casablanca,2022,39.93,Morocco,69167.0,33.3675,-7.5898
64,Casablanca,2023,47.91,Morocco,82377.0,33.3675,-7.5898
65,Casablanca,2024,48.43,Morocco,54564.0,33.3675,-7.5898
66,Chisinau,2019,25.76,Moldova,27354.0,46.9277,28.9309
67,Chisinau,2020,9.4,Moldova,9828.0,46.9277,28.9309
68,Chisinau,2021,16.28,Moldova,16799.0,46.9277,28.9309
69,Chisinau,2022,19.06,Moldova,19665.0,46.9277,28.9309
70,Chisinau,2023,22.41,Moldova,24040.0,46.9277,28.9309
71,Chisinau,2024,22.75,Moldova,22017.0,46.9277,28.9309
72,Copenhagen,2019,296.73,Denmark,263434.0,55.618,12.6508
73,Copenhagen,2020,102.87,Denmark,98204.0,55.618,12.6508
74,Copenhagen,2021,121.3,Denmark,109870.0,55.618,12.6508
75,Copenhagen,2022,221.8,Denmark,202210.0,55.618,12.6508
76,Copenhagen,2023,259.36,Denmark,227333.0,55.618,12.6508
77,Copenhagen,2024,261.18,Denmark,147693.0,55.618,12.6508
78,Dublin,2019,320.96,Ireland,238044.0,53.4213,-6.2701
79,Dublin,2020,106.37,Ireland,86885.0,53.4213,-6.2701
80,Dublin,2021,108.3,Ireland,91015.0,53.4213,-6.2701
81,Dublin,2022,257.28,Ireland,211367.0,53.4213,-6.2701
82,Dublin,2023,302.67,Ireland,240694.0,53.4213,-6.2701
83,Dublin,2024,303.58,Ireland,147984.0,53.4213,-6.2701
84,Dusseldorf,2019,239.97,Germany,225541.0,51.2803,6.7668
85,Dusseldorf,2020,77.24,Germany,78702.0,51.2803,6.7668
86,Dusseldorf,2021,83.45,Germany,82021.0,51.2803,6.7668
87,Dusseldorf,2022,151.94,Germany,140246.0,51.2803,6.7668
88,Dusseldorf,2023,167.64,Germany,151312.0,51.2803,6.7668
89,Dusseldorf,2024,168.65,Germany,97484.0,51.2803,6.7668
90,Frankfurt,2019,911.87,Germany,513866.0,50.0379,8.5622
91,Frankfurt,2020,393.41,Germany,212365.0,50.0379,8.5622
92,Frankfurt,2021,486.61,Germany,261966.0,50.0379,8.5622
93,Frankfurt,2022,702.42,Germany,382135.0,50.0379,8.5622
94,Frankfurt,2023,736.54,Germany,430389.0,50.0379,8.5622
95,Frankfurt,2024,740.96,Germany,268113.0,50.0379,8.5622
96,Geneva,2019,163.61,Switzerland,179115.0,46.2381,6.109
97,Geneva,2020,63.44,Switzerland,78706.0,46.2381,6.109
98,Geneva,2021,72.2,Switzerland,91512.0,46.2381,6.109
99,Geneva,2022,142.9,Switzerland,155646.0,46.2381,6.109
100,Geneva,2023,152.31,Switzerland,166002.0,46.2381,6.109
101,Geneva,2024,152.61,Switzerland,100860.0,46.2381,6.109
102,Helsinki,2019,206.48,Finland,194634.0,60.3172,24.9633
103,Helsinki,2020,67.84,Finland,72789.0,60.3172,24.9633
104,Helsinki,2021,63.62,Finland,72296.0,60.3172,24.9633
105,Helsinki,2022,136.67,Finland,132701.0,60.3172,24.9633
106,Helsinki,2023,151.02,Finland,141858.0,60.3172,24.9633
107,Helsinki,2024,152.08,Finland,92286.0,60.3172,24.9633
108,Istanbul,2019,788.06,Turkey,326125.0,41.2753,28.7519
109,Istanbul,2020,390.75,Turkey,184527.0,41.2753,28.7519
110,Istanbul,2021,525.65,Turkey,277983.0,41.2753,28.7519
111,Istanbul,2022,838.62,Turkey,422062.0,41.2753,28.7519
112,Istanbul,2023,1065.05,Turkey,502051.0,41.2753,28.7519
113,Istanbul,2024,1067.53,Turkey,308192.0,41.2753,28.7519
114,Istanbul Sabiha Gokcen,2019,274.61,Turkey,228616.0,41.2753,28.7519
115,Istanbul Sabiha Gokcen,2020,141.11,Turkey,124150.0,41.2753,28.7519
116,Istanbul Sabiha Gokcen,2021,196.33,Turkey,178024.0,41.2753,28.7519
117,Istanbul Sabiha Gokcen,2022,209.0,Turkey,194144.0,41.2753,28.7519
118,Istanbul Sabiha Gokcen,2023,268.1,Turkey,220872.0,41.2753,28.7519
119,Istanbul Sabiha Gokcen,2024,270.52,Turkey,140980.0,41.2753,28.7519
120,Keflavik,2019,81.44,,,63.985,-22.6056
121,Keflavik,2020,32.83,,,63.985,-22.6056
122,Keflavik,2021,32.33,,,63.985,-22.6056
123,Keflavik,2022,57.4,,,63.985,-22.6056
124,Keflavik,2023,68.66,,,63.985,-22.6056
125,Keflavik,2024,68.93,,,63.985,-22.6056
126,Larnaca,2019,79.49,Cyprus,60657.0,34.8751,33.6249
127,Larnaca,2020,26.4,Cyprus,24243.0,34.8751,33.6249
128,Larnaca,2021,40.97,Cyprus,38018.0,34.8751,33.6249
129,Larnaca,2022,52.32,Cyprus,49485.0,34.8751,33.6249
130,Larnaca,2023,69.46,Cyprus,62509.0,34.8751,33.6249
131,Larnaca,2024,70.29,Cyprus,46894.0,34.8751,33.6249
132,Liege,2019,77.51,Belgium,34876.0,50.6374,5.4432
133,Liege,2020,87.46,Belgium,36699.0,50.6374,5.4432
134,Liege,2021,103.63,Belgium,41908.0,50.6374,5.4432
135,Liege,2022,82.47,Belgium,33157.0,50.6374,5.4432
136,Liege,2023,74.9,Belgium,29265.0,50.6374,5.4432
137,Liege,2024,75.42,Belgium,19601.0,50.6374,5.4432
138,Lisbon,2019,276.18,Portugal,220938.0,38.7742,-9.1342
139,Lisbon,2020,101.72,Portugal,89246.0,38.7742,-9.1342
140,Lisbon,2021,130.1,Portugal,115380.0,38.7742,-9.1342
141,Lisbon,2022,244.24,Portugal,202609.0,38.7742,-9.1342
142,Lisbon,2023,284.0,Portugal,226762.0,38.7742,-9.1342
143,Lisbon,2024,291.95,Portugal,138810.0,38.7742,-9.1342
144,Ljubljana,2019,18.36,Slovenia,27935.0,46.2237,14.456
145,Ljubljana,2020,5.14,Slovenia,10027.0,46.2237,14.456
146,Ljubljana,2021,6.76,Slovenia,12975.0,46.2237,14.456
147,Ljubljana,2022,10.99,Slovenia,17563.0,46.2237,14.456
148,Ljubljana,2023,13.71,Slovenia,19673.0,46.2237,14.456
149,Ljubljana,2024,13.9,Slovenia,13308.0,46.2237,14.456
150,London Gatwick,2019,445.72,United Kingdom,284916.0,51.1481,-0.1903
151,London Gatwick,2020,110.1,United Kingdom,80301.0,51.1481,-0.1903
152,London Gatwick,2021,62.29,United Kingdom,55843.0,51.1481,-0.1903
153,London Gatwick,2022,266.32,United Kingdom,217653.0,51.1481,-0.1903
154,London Gatwick,2023,344.43,United Kingdom,256936.0,51.1481,-0.1903
155,London Gatwick,2024,346.14,United Kingdom,165544.0,51.1481,-0.1903
156,London Heathrow,2019,1200.52,United Kingdom,478081.0,51.1481,-0.1903
157,London Heathrow,2020,494.23,United Kingdom,204752.0,51.1481,-0.1903
158,London Heathrow,2021,413.47,United Kingdom,195340.0,51.1481,-0.1903
159,London Heathrow,2022,825.18,United Kingdom,380384.0,51.1481,-0.1903
160,London Heathrow,2023,1100.43,United Kingdom,456739.0,51.1481,-0.1903
161,London Heathrow,2024,1105.93,United Kingdom,282221.0,51.1481,-0.1903
162,London Stansted,2019,251.05,United Kingdom,198511.0,51.1481,-0.1903
163,London Stansted,2020,108.75,United Kingdom,85394.0,51.1481,-0.1903
164,London Stansted,2021,110.96,United Kingdom,92542.0,51.1481,-0.1903
165,London Stansted,2022,210.46,United Kingdom,175935.0,51.1481,-0.1903
166,London Stansted,2023,244.88,United Kingdom,194595.0,51.1481,-0.1903
167,London Stansted,2024,246.11,United Kingdom,123619.0,51.1481,-0.1903
168,Luxembourg,2019,99.7,Luxembourg,76300.0,49.6233,6.2044
169,Luxembourg,2020,76.46,Luxembourg,40335.0,49.6233,6.2044
170,Luxembourg,2021,89.09,Luxembourg,47684.0,49.6233,6.2044
171,Luxembourg,2022,98.9,Luxembourg,69795.0,49.6233,6.2044
172,Luxembourg,2023,94.91,Luxembourg,72031.0,49.6233,6.2044
173,Luxembourg,2024,95.57,Luxembourg,43621.0,49.6233,6.2044
174,Madrid Barajas,2019,656.64,Spain,426185.0,40.4722,-3.5608
175,Madrid Barajas,2020,245.83,Spain,165650.0,40.4722,-3.5608
176,Madrid Barajas,2021,307.36,Spain,217547.0,40.4722,-3.5608
177,Madrid Barajas,2022,515.13,Spain,351953.0,40.4722,-3.5608
178,Madrid Barajas,2023,591.95,Spain,389214.0,40.4722,-3.5608
179,Madrid Barajas,2024,612.66,Spain,252382.0,40.4722,-3.5608
180,Malaga,2019,145.65,Spain,140721.0,36.6749,-4.4991
181,Malaga,2020,50.67,Spain,56897.0,36.6749,-4.4991
182,Malaga,2021,76.05,Spain,87463.0,36.6749,-4.4991
183,Malaga,2022,137.27,Spain,139418.0,36.6749,-4.4991
184,Malaga,2023,162.66,Spain,156939.0,36.6749,-4.4991
185,Malaga,2024,168.35,Spain,107948.0,36.6749,-4.4991
186,Malta,2019,58.83,Malta,58181.0,35.8575,14.4775
187,Malta,2020,21.75,Malta,24307.0,35.8575,14.4775
188,Malta,2021,30.21,Malta,32499.0,35.8575,14.4775
189,Malta,2022,47.5,Malta,48476.0,35.8575,14.4775
190,Malta,2023,55.17,Malta,59196.0,35.8575,14.4775
191,Malta,2024,55.72,Malta,42603.0,35.8575,14.4775
192,Manchester,2019,267.61,United Kingdom,202935.0,53.3659,-2.273
193,Manchester,2020,79.2,United Kingdom,66548.0,53.3659,-2.273
194,Manchester,2021,74.05,United Kingdom,66648.0,53.3659,-2.273
195,Manchester,2022,200.67,United Kingdom,158521.0,53.3659,-2.273
196,Manchester,2023,230.65,United Kingdom,180016.0,53.3659,-2.273
197,Manchester,2024,231.81,United Kingdom,124025.0,53.3659,-2.273
198,Milan Malpensa,2019,330.64,Italy,233978.0,45.6306,8.7281
199,Milan Malpensa,2020,144.56,Italy,92753.0,45.6306,8.7281
200,Milan Malpensa,2021,185.71,Italy,118460.0,45.6306,8.7281
201,Milan Malpensa,2022,265.36,Italy,186678.0,45.6306,8.7281
202,Milan Malpensa,2023,290.28,Italy,202087.0,45.6306,8.7281
203,Milan Malpensa,2024,290.28,Italy,133587.0,45.6306,8.7281
204,Munich,2019,520.42,Germany,414222.0,48.3538,11.7861
205,Munich,2020,157.69,Germany,144247.0,48.3538,11.7861
206,Munich,2021,158.28,Germany,150437.0,48.3538,11.7861
207,Munich,2022,333.14,Germany,282102.0,48.3538,11.7861
208,Munich,2023,389.27,Germany,299771.0,48.3538,11.7861
209,Munich,2024,391.6,Germany,199294.0,48.3538,11.7861
210,Nice,2019,129.53,France,145645.0,43.6653,7.215
211,Nice,2020,48.17,France,66318.0,43.6653,7.215
212,Nice,2021,67.64,France,94252.0,43.6653,7.215
213,Nice,2022,114.58,France,135138.0,43.6653,7.215
214,Nice,2023,124.43,France,145941.0,43.6653,7.215
215,Nice,2024,125.31,France,96343.0,43.6653,7.215
216,Oslo,2019,276.27,Norway,251872.0,60.1939,11.1004
217,Oslo,2020,125.33,Norway,122553.0,60.1939,11.1004
218,Oslo,2021,128.34,Norway,123783.0,60.1939,11.1004
219,Oslo,2022,223.78,Norway,205569.0,60.1939,11.1004
220,Oslo,2023,231.38,Norway,215993.0,60.1939,11.1004
221,Oslo,2024,233.24,Norway,133989.0,60.1939,11.1004
222,Palma de Mallorca,2019,222.79,Spain,217096.0,39.5517,2.7388
223,Palma de Mallorca,2020,66.4,Spain,76432.0,39.5517,2.7388
224,Palma de Mallorca,2021,134.32,Spain,140536.0,39.5517,2.7388
225,Palma de Mallorca,2022,230.74,Spain,220145.0,39.5517,2.7388
226,Palma de Mallorca,2023,225.41,Spain,227838.0,39.5517,2.7388
227,Palma de Mallorca,2024,233.3,Spain,164672.0,39.5517,2.7388
228,Paris Charles de Gaulle,2019,930.18,France,504887.0,49.0097,2.5479
229,Paris Charles de Gaulle,2020,419.81,France,220741.0,49.0097,2.5479
230,Paris Charles de Gaulle,2021,471.95,France,256094.0,49.0097,2.5479
231,Paris Charles de Gaulle,2022,756.98,France,409376.0,49.0097,2.5479
232,Paris Charles de Gaulle,2023,801.07,France,455146.0,49.0097,2.5479
233,Paris Charles de Gaulle,2024,806.67,France,288321.0,49.0097,2.5479
234,Paris Orly,2019,277.93,France,221602.0,49.0097,2.5479
235,Paris Orly,2020,106.0,France,84666.0,49.0097,2.5479
236,Paris Orly,2021,156.36,France,120598.0,49.0097,2.5479
237,Paris Orly,2022,260.94,France,198721.0,49.0097,2.5479
238,Paris Orly,2023,265.19,France,208708.0,49.0097,2.5479
239,Paris Orly,2024,267.05,France,126877.0,49.0097,2.5479
240,Podgorica,2019,11.44,Montenegro,14557.0,42.3594,19.2519
241,Podgorica,2020,4.12,Montenegro,5816.0,42.3594,19.2519
242,Podgorica,2021,6.27,Montenegro,8232.0,42.3594,19.2519
243,Podgorica,2022,10.42,Montenegro,12182.0,42.3594,19.2519
244,Podgorica,2023,12.39,Montenegro,14280.0,42.3594,19.2519
245,Podgorica,2024,12.56,Montenegro,10323.0,42.3594,19.2519
246,Prague,2019,156.67,Czech Republic,150434.0,50.1008,14.264
247,Prague,2020,45.03,Czech Republic,50051.0,50.1008,14.264
248,Prague,2021,51.75,Czech Republic,56540.0,50.1008,14.264
249,Prague,2022,92.18,Czech Republic,96061.0,50.1008,14.264
250,Prague,2023,121.89,Czech Republic,113581.0,50.1008,14.264
251,Prague,2024,122.62,Czech Republic,83981.0,50.1008,14.264
252,Riga,2019,63.41,Latvia,86646.0,56.9236,23.9718
253,Riga,2020,23.96,Latvia,35174.0,56.9236,23.9718
254,Riga,2021,29.06,Latvia,38285.0,56.9236,23.9718
255,Riga,2022,43.82,Latvia,54625.0,56.9236,23.9718
256,Riga,2023,55.0,Latvia,61079.0,56.9236,23.9718
257,Riga,2024,54.79,Latvia,39008.0,56.9236,23.9718
258,Rome Fiumicino,2019,462.73,Italy,309783.0,41.8003,12.2389
259,Rome Fiumicino,2020,131.5,Italy,103416.0,41.8003,12.2389
260,Rome Fiumicino,2021,133.64,Italy,113991.0,41.8003,12.2389
261,Rome Fiumicino,2022,277.68,Italy,212555.0,41.8003,12.2389
262,Rome Fiumicino,2023,366.89,Italy,266510.0,41.8003,12.2389
263,Rome Fiumicino,2024,366.89,Italy,197463.0,41.8003,12.2389
264,Sarajevo,2019,10.29,Bosnia and Herzegovina,12918.0,43.8246,18.3315
265,Sarajevo,2020,3.0,Bosnia and Herzegovina,5383.0,43.8246,18.3315
266,Sarajevo,2021,7.58,Bosnia and Herzegovina,10681.0,43.8246,18.3315
267,Sarajevo,2022,11.29,Bosnia and Herzegovina,14772.0,43.8246,18.3315
268,Sarajevo,2023,10.72,Bosnia and Herzegovina,13347.0,43.8246,18.3315
269,Sarajevo,2024,10.92,Bosnia and Herzegovina,11253.0,43.8246,18.3315
270,Skopje,2019,19.13,Republic of North Macedonia,18845.0,41.9616,21.6219
271,Skopje,2020,7.89,Republic of North Macedonia,8250.0,41.9616,21.6219
272,Skopje,2021,11.79,Republic of North Macedonia,13327.0,41.9616,21.6219
273,Skopje,2022,16.77,Republic of North Macedonia,16958.0,41.9616,21.6219
274,Skopje,2023,21.61,Republic of North Macedonia,21503.0,41.9616,21.6219
275,Skopje,2024,21.97,Republic of North Macedonia,14486.0,41.9616,21.6219
276,Sofia,2019,62.14,Bulgaria,60266.0,42.6952,23.4058
277,Sofia,2020,38.88,Bulgaria,34984.0,42.6952,23.4058
278,Sofia,2021,41.3,Bulgaria,39888.0,42.6952,23.4058
279,Sofia,2022,51.87,Bulgaria,52974.0,42.6952,23.4058
280,Sofia,2023,60.01,Bulgaria,59897.0,42.6952,23.4058
281,Sofia,2024,60.79,Bulgaria,39382.0,42.6952,23.4058
282,Stockholm Arlanda,2019,251.84,Sweden,233007.0,59.6519,17.9186
283,Stockholm Arlanda,2020,85.66,Sweden,86081.0,59.6519,17.9186
284,Stockholm Arlanda,2021,84.62,Sweden,91016.0,59.6519,17.9186
285,Stockholm Arlanda,2022,172.94,Sweden,170407.0,59.6519,17.9186
286,Stockholm Arlanda,2023,197.27,Sweden,189280.0,59.6519,17.9186
287,Stockholm Arlanda,2024,198.65,Sweden,114530.0,59.6519,17.9186
288,Tallinn,2019,27.36,Estonia,43904.0,59.4133,24.8328
289,Tallinn,2020,10.96,Estonia,19186.0,59.4133,24.8328
290,Tallinn,2021,15.38,Estonia,22877.0,59.4133,24.8328
291,Tallinn,2022,23.59,Estonia,34121.0,59.4133,24.8328
292,Tallinn,2023,23.13,Estonia,34347.0,59.4133,24.8328
293,Tallinn,2024,22.99,Estonia,23569.0,59.4133,24.8328
294,Tbilisi,2019,42.87,Georgia,36165.0,41.6692,44.9547
295,Tbilisi,2020,14.76,Georgia,10880.0,41.6692,44.9547
296,Tbilisi,2021,24.74,Georgia,21280.0,41.6692,44.9547
297,Tbilisi,2022,33.79,Georgia,28892.0,41.6692,44.9547
298,Tbilisi,2023,36.98,Georgia,34451.0,41.6692,44.9547
299,Tbilisi,2024,37.76,Georgia,29000.0,41.6692,44.9547
300,Tel Aviv,2019,198.13,Israel,166767.0,32.0075,34.8866
301,Tel Aviv,2020,61.32,Israel,54119.0,32.0075,34.8866
302,Tel Aviv,2021,69.44,Israel,74950.0,32.0075,34.8866
303,Tel Aviv,2022,141.52,Israel,143779.0,32.0075,34.8866
304,Tel Aviv,2023,163.45,Israel,152331.0,32.0075,34.8866
305,Tel Aviv,2024,165.47,Israel,71864.0,32.0075,34.8866
306,Tirana,2019,28.11,Albania,28500.0,41.4147,19.7206
307,Tirana,2020,13.96,Albania,15288.0,41.4147,19.7206
308,Tirana,2021,40.67,Albania,26190.0,41.4147,19.7206
309,Tirana,2022,51.73,Albania,38602.0,41.4147,19.7206
310,Tirana,2023,54.52,Albania,50811.0,41.4147,19.7206
311,Tirana,2024,57.47,Albania,43491.0,41.4147,19.7206
312,Vienna,2019,318.61,Austria,281716.0,48.1103,16.5697
313,Vienna,2020,114.43,Austria,108129.0,48.1103,16.5697
314,Vienna,2021,143.03,Austria,127842.0,48.1103,16.5697
315,Vienna,2022,240.12,Austria,204430.0,48.1103,16.5697
316,Vienna,2023,261.86,Austria,235281.0,48.1103,16.5697
317,Vienna,2024,263.95,Austria,155895.0,48.1103,16.5697
318,Vilnius,2019,41.71,Lithuania,46775.0,54.6341,25.2799
319,Vilnius,2020,17.3,Lithuania,20351.0,54.6341,25.2799
320,Vilnius,2021,21.51,Lithuania,23714.0,54.6341,25.2799
321,Vilnius,2022,32.38,Lithuania,36034.0,54.6341,25.2799
322,Vilnius,2023,33.38,Lithuania,38025.0,54.6341,25.2799
323,Vilnius,2024,33.35,Lithuania,24948.0,54.6341,25.2799
324,Warsaw Chopin,2019,178.83,Poland,194160.0,52.1657,20.967
325,Warsaw Chopin,2020,67.57,Poland,79844.0,52.1657,20.967
326,Warsaw Chopin,2021,81.76,Poland,94666.0,52.1657,20.967
327,Warsaw Chopin,2022,135.83,Poland,144737.0,52.1657,20.967
328,Warsaw Chopin,2023,165.66,Poland,165434.0,52.1657,20.967
329,Warsaw Chopin,2024,166.82,Poland,113006.0,52.1657,20.967
330,Yerevan,2019,31.05,Armenia,25556.0,40.1473,44.3956
331,Yerevan,2020,11.53,Armenia,9373.0,40.1473,44.3956
332,Yerevan,2021,23.16,Armenia,19439.0,40.1473,44.3956
333,Yerevan,2022,35.43,Armenia,34550.0,40.1473,44.3956
334,Yerevan,2023,50.63,Armenia,43282.0,40.1473,44.3956
335,Yerevan,2024,51.53,Armenia,24999.0,40.1473,44.3956
336,Zagreb,2019,31.91,Croatia,44307.0,45.7429,16.0688
337,Zagreb,2020,12.57,Croatia,21278.0,45.7429,16.0688
338,Zagreb,2021,17.83,Croatia,28952.0,45.7429,16.0688
339,Zagreb,2022,29.96,Croatia,41716.0,45.7429,16.0688
340,Zagreb,2023,34.33,Croatia,45319.0,45.7429,16.0688
341,Zagreb,2024,34.6,Croatia,30336.0,45.7429,16.0688
342,Zurich,2019,330.62,Switzerland,269223.0,47.4647,8.5492
343,Zurich,2020,118.65,Switzerland,105370.0,47.4647,8.5492
344,Zurich,2021,140.46,Switzerland,125694.0,47.4647,8.5492
345,Zurich,2022,244.2,Switzerland,211112.0,47.4647,8.5492
346,Zurich,2023,299.19,Switzerland,243029.0,47.4647,8.5492
347,Zurich,2024,299.78,Switzerland,158457.0,47.4647,8.5492
